command,code
add five plus twenty and assign to integer variable x,integer x = 5 + 20
add ten plus fifteen and assign to integer variable x,integer x = 10 + 15
add nine plus seven and assign to integer variable x,integer x = 9 + 7
add four plus twelve and assign to integer variable x,integer x = 4 + 12
add twenty plus twenty one and assign to integer variable x,integer x = 20 + 21
add nineteen plus fifteen and assign to integer variable x,integer x = 19 + 15
add five plus twenty and assign to integer variable hello,integer hello = 5 + 20
add ten plus fifteen and assign to integer variable hello,integer hello = 10 + 15
add nine plus seven and assign to integer variable hello,integer hello = 9 + 7
add four plus twelve and assign to integer variable hello,integer hello = 4 + 12
add twenty plus twenty one and assign to integer variable hello,integer hello = 20 + 21
add nineteen plus fifteen and assign to integer variable hello,integer hello = 19 + 15
add five plus twenty and assign to integer variable total count,integer total_count = 5 + 20
add ten plus fifteen and assign to integer variable total count,integer total_count = 10 + 15
add nine plus seven and assign to integer variable total count,integer total_count = 9 + 7
add four plus twelve and assign to integer variable total count,integer total_count = 4 + 12
add twenty plus twenty one and assign to integer variable total count,integer total_count = 20 + 21
add nineteen plus fifteen and assign to integer variable total count,integer total_count = 19 + 15
add five plus twenty and assign to integer variable total marks count,integer total_marks_count = 5 + 20
add ten plus fifteen and assign to integer variable total marks count,integer total_marks_count = 10 + 15
add nine plus seven and assign to integer variable total marks count,integer total_marks_count = 9 + 7
add four plus twelve and assign to integer variable total marks count,integer total_marks_count = 4 + 12
add twenty plus twenty one and assign to integer variable total marks count,integer total_marks_count = 20 + 21
add nineteen plus fifteen and assign to integer variable total marks count,integer total_marks_count = 19 + 15
subtract five from twenty and assign to integer variable x,integer x = 5 - 20
subtract ten from fifteen and assign to integer variable x,integer x = 10 - 15
subtract nine from seven and assign to integer variable x,integer x = 9 - 7
subtract four from twelve and assign to integer variable x,integer x = 4 - 12
subtract twenty from twenty one and assign to integer variable x,integer x = 20 - 21
subtract nineteen from fifteen and assign to integer variable x,integer x = 19 - 15
subtract five from twenty and assign to integer variable marks,integer marks = 5 - 20
subtract ten from fifteen and assign to integer variable marks,integer marks = 10 - 15
subtract nine from seven and assign to integer variable marks,integer marks = 9 - 7
subtract four from twelve and assign to integer variable marks,integer marks = 4 - 12
subtract twenty from twenty one and assign to integer variable marks,integer marks = 20 - 21
subtract nineteen from fifteen and assign to integer variable marks,integer marks = 19 - 15
subtract five from twenty and assign to integer variable total marks,integer total_marks = 5 - 20
subtract ten from fifteen and assign to integer variable total marks,integer total_marks = 10 - 15
subtract nine from seven and assign to integer variable total marks,integer total_marks = 9 - 7
subtract four from twelve and assign to integer variable total marks,integer total_marks = 4 - 12
subtract twenty from twenty one and assign to integer variable total marks,integer total_marks = 20 - 21
subtract nineteen from fifteen and assign to integer variable total marks,integer total_marks = 19 - 15
subtract five from twenty and assign to integer variable total average marks,integer total_average_marks = 5 - 20
subtract ten from fifteen and assign to integer variable total average marks,integer total_average_marks = 10 - 15
subtract nine from seven and assign to integer variable total average marks,integer total_average_marks = 9 - 7
subtract four from twelve and assign to integer variable total average marks,integer total_average_marks = 4 - 12
subtract twenty from twenty one and assign to integer variable total average marks,integer total_average_marks = 20 - 21
subtract nineteen from fifteen and assign to integer variable total average marks,integer total_average_marks = 19 - 15
