command,code
print string hello world,"text a = ""Hello World\noutput a"""
print hello world,"text a = ""Hello World\noutput a"""
print text hello world,"text a = ""Hello World\noutput a"""
output string hello world,"text a = ""Hello World\noutput a"""
output hello world,"text a = ""Hello World\noutput a"""
output text hello world,"text a = ""Hello World\noutput a"""
display string hello world,"text a = ""Hello World\noutput a"""
display hello world,"text a = ""Hello World\noutput a"""
display text hello world,"text a = ""Hello World\noutput a"""
print string good luck,"text a = ""Good Luck\noutput a"""
print good luck,"text a = ""Good Luck\noutput a"""
print text good luck,"text a = ""Good Luck\noutput a"""
output string good luck,"text a = ""Good Luck\noutput a"""
output good luck,"text a = ""Good Luck\noutput a"""
output text good luck,"text a = ""Good Luck\noutput a"""
display good luck,"text a = ""Good Luck\noutput a"""
display text good luck,"text a = ""Good Luck\noutput a"""
display string good luck,"text a = ""Good Luck\noutput a"""
print string name,"text a = ""name\noutput a"""
print name,"text a = ""name\noutput a"""
print text name,"text a = ""name\noutput a"""
output string name,"text a = ""name\noutput a"""
output name,"text a = ""name\noutput a"""
output text name,"text a = ""name\noutput a"""
display string name,"text a = ""name\noutput a"""
display name,"text a = ""name\noutput a"""
display text name,"text a = ""name\noutput a"""
print string bad,"text a = ""bad\noutput a"""
print good bad,"text a = ""bad\noutput a"""
print text bad,"text a = ""bad\noutput a"""
output string bad,"text a = ""bad\noutput a"""
output bad,"text a = ""bad\noutput a"""
output text bad,"text a = ""bad\noutput a"""
display text bad,"text a = ""bad\noutput a"""
display bad,"text a = ""bad\noutput a"""
display string bad,"text a = ""bad\noutput a"""
